food_id,name,spicy_level,sweet_level,salt_level,price,cooking_time,category
1,ข้าวหมูกระเทียม #1,2,2,3,86,23,อาหารจานเดียว
2,แกงส้ม #2,3,4,2,135,16,อาหารจานเดียว
3,ผัดซีอิ๊ว #3,3,4,2,133,15,ยำ
4,ข้าวมันไก่ #4,1,5,5,63,21,แกง
5,ผัดไทย #5,3,2,4,84,15,อาหารจานด่วน
6,ไก่ทอด #6,1,2,5,73,23,อาหารจานเดียว
7,ไก่ทอด #7,3,2,3,144,11,อาหารจานเดียว
8,ข้าวคลุกกะปิ #8,5,3,4,96,39,อาหารจานเดียว
9,ผัดซีอิ๊ว #9,2,4,1,116,38,แกง
10,กะเพราไก่ไข่ดาว #10,2,4,3,69,36,ยำ
11,ข้าวมันไก่ #11,3,4,1,105,11,อาหารจานเดียว
12,ข้าวผัด #12,4,3,4,110,43,อาหารจานด่วน
13,ข้าวคลุกกะปิ #13,3,3,3,94,10,อาหารจานเดียว
14,ไก่ทอด #14,1,4,4,67,20,ยำ
15,หมูทอดกระเทียม #15,3,5,2,88,20,ยำ
16,ข้าวหน้าเป็ด #16,5,2,3,98,41,อาหารจานเดียว
17,ข้าวคลุกกะปิ #17,5,1,5,80,8,อาหารจานเดียว
18,ผัดไทย #18,4,1,5,75,18,แกง
19,ก๋วยเตี๋ยวเรือ #19,1,2,4,48,35,อาหารจานเดียว
20,ส้มตำ #20,1,3,1,149,33,อาหารจานด่วน
21,กะเพราไก่ไข่ดาว #21,2,5,5,62,42,อาหารจานเดียว
22,ข้าวหน้าเป็ด #22,1,5,5,131,34,อาหารจานเดียว
23,ผัดไทย #23,5,3,3,95,34,แกง
24,หมูทอดกระเทียม #24,4,3,3,65,39,แกง
25,แกงส้ม #25,5,4,2,41,22,ยำ
26,แกงมัสมั่น #26,5,1,3,48,35,แกง
27,ผัดซีอิ๊ว #27,2,2,4,77,8,ยำ
28,ข้าวมันไก่ #28,1,1,4,144,7,อาหารจานเดียว
29,ข้าวต้มปลา #29,3,2,4,64,21,อาหารจานด่วน
30,แกงส้ม #30,5,3,4,122,10,แกง
31,ข้าวผัดปู #31,1,2,5,138,18,ยำ
32,ข้าวมันไก่ #32,2,1,1,69,13,แกง
33,แกงเขียวหวาน #33,4,5,1,68,23,อาหารจานด่วน
34,ผัดซีอิ๊ว #34,1,2,5,142,32,แกง
35,ข้าวผัด #35,1,5,2,144,36,แกง
36,ผัดกระเพรา #36,1,4,4,56,15,อาหารจานด่วน
37,ข้าวต้มปลา #37,3,2,2,77,23,แกง
38,ข้าวคลุกกะปิ #38,3,4,4,65,29,อาหารจานด่วน
39,ผัดกระเพรา #39,2,4,3,89,37,แกง
40,ส้มตำ #40,2,1,5,59,45,แกง
41,ผัดซีอิ๊ว #41,1,2,2,94,13,อาหารจานด่วน
42,ข้าวมันไก่ #42,2,3,4,79,5,อาหารจานเดียว
43,ข้าวหมูกระเทียม #43,3,5,3,48,39,อาหารจานด่วน
44,ผัดกระเพรา #44,2,2,4,98,28,แกง
45,ผัดไทย #45,2,1,2,103,34,อาหารจานเดียว
46,ข้าวหน้าเป็ด #46,5,2,5,54,37,อาหารจานเดียว
47,ไก่ทอด #47,3,3,1,145,43,อาหารจานด่วน
48,แกงส้ม #48,4,5,2,36,42,อาหารจานด่วน
49,ผัดกระเพรา #49,4,3,3,46,25,อาหารจานด่วน
50,ข้าวต้มปลา #50,5,1,5,121,26,อาหารจานเดียว
51,ต้มยำกุ้ง #51,3,1,5,106,16,ยำ
52,ผัดไทย #52,4,3,4,121,10,ยำ
53,ไก่ทอด #53,4,4,1,126,34,ยำ
54,แกงเขียวหวาน #54,2,5,5,95,18,แกง
55,ข้าวผัดปู #55,5,5,2,41,12,อาหารจานด่วน
56,ข้าวมันไก่ #56,5,5,3,81,44,แกง
57,ข้าวหมูกระเทียม #57,4,3,3,102,39,แกง
58,ข้าวหมูกระเทียม #58,3,4,2,137,38,ยำ
59,ส้มตำ #59,1,2,5,58,31,ยำ
60,ข้าวมันไก่ #60,1,4,3,78,17,ยำ
61,ข้าวมันไก่ #61,4,5,3,140,23,อาหารจานเดียว
62,หมูทอดกระเทียม #62,4,3,5,129,16,อาหารจานเดียว
63,แกงมัสมั่น #63,3,2,4,111,8,อาหารจานด่วน
64,ผัดไทย #64,3,5,5,80,33,ยำ
65,ข้าวหน้าเป็ด #65,2,2,1,31,15,อาหารจานเดียว
66,ข้าวผัด #66,3,2,5,149,23,แกง
67,หมูทอดกระเทียม #67,2,4,5,130,9,แกง
68,แกงส้ม #68,2,3,3,138,20,อาหารจานด่วน
69,ข้าวผัด #69,1,1,2,106,13,อาหารจานด่วน
70,ข้าวหน้าเป็ด #70,2,5,3,41,19,อาหารจานเดียว
71,ข้าวมันไก่ #71,3,3,1,39,6,อาหารจานด่วน
72,ข้าวหน้าเป็ด #72,1,3,1,30,30,แกง
73,บะหมี่เกี๊ยว #73,2,3,5,85,6,แกง
74,ข้าวคลุกกะปิ #74,2,2,4,82,23,แกง
75,หมูทอดกระเทียม #75,4,4,1,44,12,แกง
76,ผัดไทย #76,3,5,3,82,34,ยำ
77,ก๋วยเตี๋ยวเรือ #77,5,3,3,54,20,อาหารจานเดียว
78,ไก่ทอด #78,5,2,5,103,12,อาหารจานเดียว
79,ข้าวหมูกระเทียม #79,2,4,1,40,17,อาหารจานเดียว
80,ผัดไทย #80,2,5,4,105,17,อาหารจานเดียว
81,ข้าวมันไก่ #81,4,5,5,40,37,อาหารจานเดียว
82,ต้มยำกุ้ง #82,5,4,1,44,24,อาหารจานเดียว
83,ไก่ทอด #83,4,2,1,70,6,อาหารจานด่วน
84,ข้าวมันไก่ #84,3,4,4,118,32,ยำ
85,ก๋วยเตี๋ยวเรือ #85,4,1,1,44,17,อาหารจานด่วน
86,ส้มตำ #86,2,1,2,55,12,ยำ
87,ผัดไทย #87,3,1,3,143,16,แกง
88,ข้าวหมูกระเทียม #88,1,1,4,59,41,อาหารจานเดียว
89,ข้าวผัดปู #89,3,4,4,113,31,อาหารจานเดียว
90,ผัดไทย #90,3,1,2,144,29,อาหารจานด่วน
91,ข้าวต้มปลา #91,3,3,1,149,36,แกง
92,ข้าวคลุกกะปิ #92,1,2,3,61,31,อาหารจานด่วน
93,หมูทอดกระเทียม #93,4,2,3,141,22,แกง
94,กะเพราไก่ไข่ดาว #94,5,1,2,73,44,อาหารจานเดียว
95,ต้มยำกุ้ง #95,1,1,1,137,35,อาหารจานด่วน
96,ข้าวต้มปลา #96,5,4,4,44,27,อาหารจานด่วน
97,บะหมี่เกี๊ยว #97,2,1,3,121,11,ยำ
98,ไก่ทอด #98,4,3,3,134,23,อาหารจานด่วน
99,ข้าวคลุกกะปิ #99,2,3,1,66,15,อาหารจานด่วน
100,ส้มตำ #100,1,5,1,149,33,อาหารจานเดียว
101,ข้าวหมูกระเทียม #101,3,2,5,36,30,อาหารจานเดียว
102,ก๋วยเตี๋ยวเรือ #102,3,4,4,94,11,ยำ
103,ผัดกระเพรา #103,1,5,2,146,10,อาหารจานด่วน
