user_id,food_id,rating
178,4447,1
78,3069,2
151,1259,3
301,6276,5
259,2260,1
421,2581,2
160,2859,1
14,4466,4
439,5629,1
412,8080,4
10,9916,5
10,4870,4
173,3952,5
185,1007,5
385,5374,3
124,3215,2
62,9403,5
491,9517,5
372,5386,4
427,217,1
73,8720,4
489,5022,3
454,2772,1
474,5091,3
153,9452,3
458,5817,5
188,5283,1
289,1222,3
456,191,5
208,5617,1
113,6654,2
187,5795,2
407,3038,5
320,9255,5
18,5905,2
40,4821,3
91,9270,1
334,3559,4
363,2759,1
28,1294,4
481,3545,5
457,331,2
232,6330,5
192,2338,1
468,7006,1
43,9866,1
100,4792,5
179,1553,3
15,3580,3
458,7654,3
492,9703,4
271,1536,1
434,2107,4
249,942,4
469,2478,4
485,5179,4
127,784,4
33,4887,4
238,1880,2
50,4632,5
244,9452,1
8,6869,1
165,8349,3
369,9522,4
277,2141,1
90,6583,2
209,4725,3
228,4214,1
148,6581,4
450,4108,4
239,7240,5
109,5120,1
50,6031,1
317,682,5
112,2360,5
269,5523,1
336,3161,5
79,2333,4
82,7945,4
496,485,3
290,7073,2
56,9169,1
477,5029,1
253,3431,4
483,9803,5
430,5704,5
132,6697,5
471,878,1
255,9381,2
350,7478,5
384,4643,3
248,9621,1
496,495,4
460,5656,4
307,8160,2
100,9259,5
355,4735,3
23,8687,2
486,4376,4
434,8312,3
494,8113,3
65,3187,2
371,8690,5
3,9395,2
223,6418,4
274,1000,1
235,6546,3
468,2523,1
8,1176,5
424,4496,4
45,7391,5
229,9311,4
495,6262,2
15,2244,1
405,3453,4
466,8046,5
420,5711,5
54,6509,5
157,4199,1
239,5374,5
344,6276,3
425,7336,5
416,5188,5
423,3602,2
296,5594,1
305,5024,4
72,4996,1
406,4774,2
417,7783,5
224,7096,1
214,4046,4
230,981,5
194,9125,1
66,2200,2
120,2097,2
459,3685,1
37,7991,2
16,3709,1
48,6407,4
462,6162,2
453,7339,2
94,7312,5
494,8804,4
405,5151,1
391,5476,2
7,8287,5
440,5810,2
288,3773,4
110,9384,4
167,7335,1
161,9236,1
403,5253,3
144,8307,4
171,8449,3
255,786,3
332,7530,4
301,2059,2
498,2604,1
320,8782,2
289,3878,4
441,9887,5
443,2165,1
67,2195,2
263,8713,4
166,9610,2
263,6493,2
310,4531,3
32,318,1
366,1106,4
265,3284,3
269,4004,4
287,6490,1
191,9373,5
18,1868,5
10,2414,1
413,2694,2
2,4922,5
376,5737,3
168,4545,2
347,1100,3
476,3551,3
243,2753,2
342,3522,1
15,4974,1
426,3232,2
200,3323,2
203,6667,3
257,490,4
181,9687,2
42,43,3
197,8951,1
474,9453,2
238,4907,5
13,15,5
445,6093,5
179,2253,4
102,4714,3
75,3088,2
4,6758,1
69,3789,3
486,5254,1
166,4893,5
228,6052,1
342,8384,5
151,2879,1
448,491,2
429,1446,5
485,8537,2
254,1537,2
285,1792,1
10,4277,1
414,3612,2
64,4151,1
239,6349,4
324,7560,3
271,3435,4
86,9534,1
460,9988,3
323,9382,5
161,5289,3
46,2083,1
433,7676,2
346,6871,1
67,7722,1
296,8850,3
459,6468,2
150,8408,2
442,7719,2
150,152,3
333,3455,5
196,836,1
473,1282,4
222,8020,2
404,1809,1
165,6404,5
344,1185,2
99,7930,4
456,329,4
143,3101,1
180,4386,1
119,9785,4
82,4473,4
155,9244,2
200,7533,1
429,3726,2
241,7270,3
37,1133,5
29,3883,2
417,3482,5
490,442,1
388,5380,2
284,682,4
138,4498,5
108,2421,1
